"ControlNr";"Category";"BBN";"Title";"Description";"ResourceName";"ResourceInstanceName";"CISNumber";"MeasuresCount";"Score";"Timestamp";"RequiredMeasure"
"100";"Explicitly unmapped Microsoft 365 Control";"0";"Expliciet geen mapped CIS Safeguard control";"CIS heeft expliciet geen Safeguard control gemapped voor deze M365 control";"AADSecurityDefaults";"AADSecurityDefaults";"CIS-5.1.1.1";"1";"1";"2024-07-01 11:52:24";"N/A"
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.1";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.1";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.1";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.1";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.1";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.5";"Technologisch";"1";"Beveiligde authenticatie";"Er behoren beveiligde authenticatietechnologieën en -procedures te worden geïmplementeerd op basis van beperkingen van de toegang tot informatie en het onderwerpspecifieke of aanvullende beleid inzake toegangsbeveiliging.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Als vanuit een onvertrouwde zone toegang wordt verleend naar een vertrouwde zone, gebeurt dit alleen op basis van minimaal tweefactor-authenticatie."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.5";"Technologisch";"1";"Beveiligde authenticatie";"Er behoren beveiligde authenticatietechnologieën en -procedures te worden geïmplementeerd op basis van beperkingen van de toegang tot informatie en het onderwerpspecifieke of aanvullende beleid inzake toegangsbeveiliging.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Als vanuit een onvertrouwde zone toegang wordt verleend naar een vertrouwde zone, gebeurt dit alleen op basis van minimaal tweefactor-authenticatie."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.5";"Technologisch";"1";"Beveiligde authenticatie";"Er behoren beveiligde authenticatietechnologieën en -procedures te worden geïmplementeerd op basis van beperkingen van de toegang tot informatie en het onderwerpspecifieke of aanvullende beleid inzake toegangsbeveiliging.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Als vanuit een onvertrouwde zone toegang wordt verleend naar een vertrouwde zone, gebeurt dit alleen op basis van minimaal tweefactor-authenticatie."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.5";"Technologisch";"1";"Beveiligde authenticatie";"Er behoren beveiligde authenticatietechnologieën en -procedures te worden geïmplementeerd op basis van beperkingen van de toegang tot informatie en het onderwerpspecifieke of aanvullende beleid inzake toegangsbeveiliging.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Als vanuit een onvertrouwde zone toegang wordt verleend naar een vertrouwde zone, gebeurt dit alleen op basis van minimaal tweefactor-authenticatie."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.5";"Technologisch";"1";"Beveiligde authenticatie";"Er behoren beveiligde authenticatietechnologieën en -procedures te worden geïmplementeerd op basis van beperkingen van de toegang tot informatie en het onderwerpspecifieke of aanvullende beleid inzake toegangsbeveiliging.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Als vanuit een onvertrouwde zone toegang wordt verleend naar een vertrouwde zone, gebeurt dit alleen op basis van minimaal tweefactor-authenticatie."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.4";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"5.15";"Organisatorisch";"1";"Toegangsbeveiliging";"Er behoren regels op basis van bedrijfs- en informatiebeveiligingseisen te worden vastgesteld en geïmplementeerd om de fysieke en logische toegang tot informatie en andere gerelateerde bedrijfsmiddelen te beheersen.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.2";"1";"0";"2024-07-01 11:52:24";"Alleen geauthenticeerde apparatuur kan toegang krijgen tot een vertrouwde zone."
"5.15";"Organisatorisch";"1";"Toegangsbeveiliging";"Er behoren regels op basis van bedrijfs- en informatiebeveiligingseisen te worden vastgesteld en geïmplementeerd om de fysieke en logische toegang tot informatie en andere gerelateerde bedrijfsmiddelen te beheersen.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.2";"1";"0";"2024-07-01 11:52:24";"Alleen geauthenticeerde apparatuur kan toegang krijgen tot een vertrouwde zone."
"5.15";"Organisatorisch";"1";"Toegangsbeveiliging";"Er behoren regels op basis van bedrijfs- en informatiebeveiligingseisen te worden vastgesteld en geïmplementeerd om de fysieke en logische toegang tot informatie en andere gerelateerde bedrijfsmiddelen te beheersen.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.2";"1";"1";"2024-07-01 11:52:24";"Alleen geauthenticeerde apparatuur kan toegang krijgen tot een vertrouwde zone."
"5.15";"Organisatorisch";"1";"Toegangsbeveiliging";"Er behoren regels op basis van bedrijfs- en informatiebeveiligingseisen te worden vastgesteld en geïmplementeerd om de fysieke en logische toegang tot informatie en andere gerelateerde bedrijfsmiddelen te beheersen.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.2";"1";"1";"2024-07-01 11:52:24";"Alleen geauthenticeerde apparatuur kan toegang krijgen tot een vertrouwde zone."
"5.15";"Organisatorisch";"1";"Toegangsbeveiliging";"Er behoren regels op basis van bedrijfs- en informatiebeveiligingseisen te worden vastgesteld en geïmplementeerd om de fysieke en logische toegang tot informatie en andere gerelateerde bedrijfsmiddelen te beheersen.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.2";"1";"1";"2024-07-01 11:52:24";"Alleen geauthenticeerde apparatuur kan toegang krijgen tot een vertrouwde zone."
"6.7";"Mensgericht";"2";"Werken op afstand";"Wanneer personeel op afstand werkt, behoren er beveiligingsmaatregelen te worden geïmplementeerd om informatie te beschermen die buiten het gebouw en/of terrein van de organisatie wordt ingezien, verwerkt of opgeslagen.";"AADAuthenticationMethodPolicyAuthenticator";"AADAuthenticationMethodPolicyAuthenticator-MicrosoftAuthenticator";"CIS-5.2.3.1";"1";"1";"2024-07-01 11:52:24";"Niet Bekend"
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
